Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
8	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
8	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
9	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
9	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
9	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
9	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
9	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
9	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
9	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
9	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
9	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
9	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
10	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
10	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
10	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
10	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
10	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
10	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
10	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
10	8	8062417.524376818	59610079.02681368	28634252.110920146	35350334.846881695
10	9	8218573.821691076	60764632.13638557	29188852.362331636	36035015.01654762
10	10	6955744.634714904	51427811.337238975	24703824.242221307	30498036.25316234
11	1	11324726.257398596	83730199.42461321	40220574.75454012	49654196.652293675
11	2	10442103.707361486	77204464.45746571	37085877.68134372	45784265.25852977
11	3	9573059.965786487	70779125.4128897	33999406.7169661	41973871.27082377
11	4	7481923.462621642	55318153.33688339	26572585.958933946	32805110.737906206
11	5	7980944.673604162	59007703.491384864	28344895.4580098	34993110.41053426
11	6	8320414.885156897	61517601.55567159	29550548.178469565	36481545.56198192
11	7	7397055.909733459	54690678.82081171	26271172.778819002	32433001.950044293
